season,team,matches_played,matches_won,matches_lost,win_percentage
2007/08,Mumbai Indians,14,7,8,50.0
2007/08,Royal Challengers Bangalore,14,4,11,28.57
2009/10,Deccan Chargers,16,8,11,50.0
2016,Delhi Capitals,14,7,7,50.0
2016,Sunrisers Hyderabad,17,11,6,64.71
2018,Delhi Capitals,14,6,9,42.86
2018,Rajasthan Royals,15,7,9,46.67
2018,Sunrisers Hyderabad,17,11,8,64.71
2025,Gujarat Titans,15,12,6,80.0
2016,Rising Pune Supergiants,14,5,10,35.71
2017,Kings XI Punjab,14,7,7,50.0
2019,Kolkata Knight Riders,14,6,8,42.86
2020/21,Mumbai Indians,16,11,3,68.75
2020/21,Royal Challengers Bangalore,15,6,8,40.0
2007/08,Chennai Super Kings,16,10,7,62.5
2007/08,Kings XI Punjab,15,11,5,73.33
2019,Sunrisers Hyderabad,15,7,9,46.67
2019,Delhi Capitals,16,10,7,62.5
2019,Rajasthan Royals,14,5,8,35.71
2009,Delhi Capitals,15,13,6,86.67
2009,Rajasthan Royals,13,5,7,38.46
2011,Kolkata Knight Riders,15,8,7,53.33
2012,Kolkata Knight Riders,17,12,5,70.59
2015,Rajasthan Royals,14,8,5,57.14
2015,Delhi Capitals,14,5,10,35.71
2015,Sunrisers Hyderabad,14,7,7,50.0
2021,Kolkata Knight Riders,17,9,8,52.94
2022,Chennai Super Kings,14,4,11,28.57
2022,Kings XI Punjab,14,7,7,50.0
2024,Kings XI Punjab,14,5,11,35.71
2024,Chennai Super Kings,14,9,7,64.29
2009,Kings XI Punjab,14,7,8,50.0
2009,Chennai Super Kings,14,9,6,64.29
2014,Kolkata Knight Riders,16,11,5,68.75
2015,Chennai Super Kings,17,10,7,58.82
2015,Kings XI Punjab,14,2,11,14.29
2022,Rajasthan Royals,17,10,7,58.82
2022,Delhi Capitals,14,8,7,57.14
2022,Sunrisers Hyderabad,14,6,8,42.86
2023,Kolkata Knight Riders,14,6,8,42.86
2024,Delhi Capitals,14,10,7,71.43
2024,Rajasthan Royals,15,10,6,66.67
2024,Sunrisers Hyderabad,16,10,8,62.5
2016,Kings XI Punjab,14,4,10,28.57
2017,Rising Pune Supergiants,16,11,6,68.75
2018,Kings XI Punjab,14,6,8,42.86
2018,Chennai Super Kings,16,13,6,81.25
2019,Royal Challengers Bangalore,14,5,8,35.71
2019,Mumbai Indians,16,10,6,62.5
2020/21,Kolkata Knight Riders,14,7,7,50.0
2009/10,Rajasthan Royals,14,6,9,42.86
2009/10,Delhi Capitals,14,9,8,64.29
2011,Royal Challengers Bangalore,16,11,6,68.75
2011,Mumbai Indians,16,10,7,62.5
2012,Royal Challengers Bangalore,15,9,7,60.0
2012,Mumbai Indians,17,11,7,64.71
2013,Kings XI Punjab,16,9,8,56.25
2013,Chennai Super Kings,18,12,6,66.67
2021,Mumbai Indians,14,7,7,50.0
2021,Royal Challengers Bangalore,15,10,6,66.67
2025,Kings XI Punjab,18,10,8,55.56
2025,Chennai Super Kings,14,4,10,28.57
2011,Chennai Super Kings,16,12,5,75.0
2011,Kings XI Punjab,14,7,7,50.0
2012,Chennai Super Kings,18,10,11,55.56
